NCES_school_ID,low_grade,high_grade,schoool_name,district,county,address,city,state,ZIP,location,students,teachers
80345000438,7,8,Castle Rock Middle School,Douglas County School District No. Re 1,Douglas County,2575 MEADOWS BOULEVARD,CASTLE ROCK,CO,80109,Suburb: Large,774,44.55
80345001918,9,12,Castle View High School,Douglas County School District No. Re 1,Douglas County,5254 MEADOWS DR,CASTLE ROCK,CO,80109,Suburb: Large,2203,103.68
80336000424,KG,5,Castro Elementary School,School District No. 1 in the county of Denver and State of C,Denver County,845 SOUTH LOWELL BOULEVARD,DENVER,CO,80219,City: Large,319,24.55
80615001854,PK,5,Cedar Ridge Elementary School,Pueblo County School District 70,Pueblo County,1266 WEST ORO GRANDE DRIVE,PUEBLO WEST,CO,81007,Suburb: Midsize,462,22.5
80333000293,PK,5,Cedaredge Elementary School,Delta County Joint District No. 50,Delta County,380 N GRAND MESA DRIVE,CEDAREDGE,CO,81413,Town: Distant,321,20.13
80333001335,9,12,Cedaredge High School,Delta County Joint District No. 50,Delta County,575 SE DEER CREEK DR,CEDAREDGE,CO,81413,Rural: Fringe,277,16.51
80333001334,6,8,Cedaredge Middle School,Delta County Joint District No. 50,Delta County,845 SE DEER CREEK DRIVE,CEDAREDGE,CO,81413,Rural: Fringe,207,12.75
80510000843,9,12,Centauri High School,North Conejos School District No. Re1J,Conejos County,17889 US HWY 285,LA JARA,CO,81140,Rural: Remote,299,21.98
80510000842,6,8,Centauri Middle School,North Conejos School District No. Re1J,Conejos County,17891 US HWY 285,LA JARA,CO,81140,Rural: Remote,238,16.79
80249000107,9,12,Centaurus High School,Boulder Valley School District No. Re2,Boulder County,10300 SOUTH BOULDER ROAD,LAFAYETTE,CO,80026,Suburb: Small,1482,74.64
80336000324,PK,5,Centennial A School for Expeditionary Learning,School District No. 1 in the county of Denver and State of C,Denver County,4665 RALEIGH STREET,DENVER,CO,80212,City: Large,424,27.15
80531000874,KG,5,Centennial Academy of Fine Arts Education,Littleton School District No. 6 in the county of Arapahoe,Arapahoe County,3306 WEST BERRY AVENUE,LITTLETON,CO,80123,Suburb: Large,453,30.43
89920006526,11,12,Centennial BOCES High School,Centennial BOCES,Weld County,2020 CLUBHOUSE DR,GREELEY,CO,80634,City: Midsize,92,4.57
80537006397,PK,5,Centennial Elementary,St. Vrain Valley School District No. Re1J,Weld County,10290 NEIGHBORS PARKWAY,FIRESTONE,CO,80504,Rural: Fringe,489,28.69
