StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Colorado,CO,School,No,Aspen Valley Campus,Other/alternative school,080192000858,1040-0209,Academy 20,Regular local school district,0801920,1040,131,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Aspen Valley Campus,Other/alternative school,080192000858,1040-0209,Academy 20,Regular local school district,0801920,1040,131,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Aspen Valley Campus,Other/alternative school,080192000858,1040-0209,Academy 20,Regular local school district,0801920,1040,131,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Aspen Valley Campus,Other/alternative school,080192000858,1040-0209,Academy 20,Regular local school district,0801920,1040,131,Monthly,2/1/21,2/28/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Aspen Valley Campus,Other/alternative school,080192000858,1040-0209,Academy 20,Regular local school district,0801920,1040,131,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Aspen Valley Campus,Other/alternative school,080192000858,1040-0209,Academy 20,Regular local school district,0801920,1040,131,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Aspen Valley Campus,Other/alternative school,080192000858,1040-0209,Academy 20,Regular local school district,0801920,1040,131,Monthly,5/1/21,5/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,8/1/20,8/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,080192000001,1040-0074,Academy 20,Regular local school district,0801920,1040,660,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
